Username;Displayname;Firstname;Lastname;Password;Country;Container;Description;Group
kklein;Klein, Kristin;Kristin;Klein;Sommer2019!;US;OU=US,OU=UserAccounts,DC=contoso,DC=azure;Captive agent;Accounting and Finance
ldaamaq;Daamaq, LKraka;LKraka;Daamaq;Herbst2018!;France;OU=France,OU=UserAccounts,DC=contoso,DC=azure;Bartender helper;Sales
rkerpach;Kerpach, Reclaw;Reclaw;Kerpach;Sommer2019!;Brazil;OU=Brazil,OU=UserAccounts,DC=contoso,DC=azure;Inside wire installer;Helpdesk
tstarad;Starad, Tava;Tava;Starad;Urlaub2018!;Canada;OU=Canada,OU=UserAccounts,DC=contoso,DC=azure;Computer control operator;Helpdesk
hbraun;Braun, Heike;Heike;Braun;"ASDqwe!""§";France;OU=France,OU=UserAccounts,DC=contoso,DC=azure;Photographic spotter;Management
gsurgh;Surgh, Grilka;Grilka;Surgh;"!qaYxsw""";Brazil;OU=Brazil,OU=UserAccounts,DC=contoso,DC=azure;Regional planner;Marketing
jbosch;Bosch, Jens;Jens;Bosch;Applepie123!;Canada;OU=Canada,OU=UserAccounts,DC=contoso,DC=azure;MSSQL Expert;MSSQLAdmins
vmishtak;Mishtak, Valkra;Valkra;Mishtak;Garfield80;France;OU=France,OU=UserAccounts,DC=contoso,DC=azure;Adult literacy teacher;Production
jgrunnil;Grunnil, JGira;JGira;Grunnil;Carmina1;Brazil;OU=Brazil,OU=UserAccounts,DC=contoso,DC=azure;Sewer;Purchasing
mhoch;Hoch, Maik;Maik;Hoch;Avaya123;Australia;OU=Australia,OU=UserAccounts,DC=contoso,DC=azure;Electrotyper;Research and Development
mmivoloss;Mivoloss, MSyna;MSyna;Mivoloss;Yxcvbnm1;Germany;OU=Germany,OU=UserAccounts,DC=contoso,DC=azure;Job service specialist;Sales
bschreiber;Schreiber, Bernd;Bernd;Schreiber;Michael51;France;OU=France,OU=UserAccounts,DC=contoso,DC=azure;Archaeologist;Accounting and Finance
ckoru;Koru, ChTroka;ChTroka;Koru;Kermit22;Australia;OU=Australia,OU=UserAccounts,DC=contoso,DC=azure;Numerical tool and process control programmer;Sales
colahg;Olahg, ChKala;ChKala;Olahg;Initial2;Germany;OU=Germany,OU=UserAccounts,DC=contoso,DC=azure;Social scientist;Helpdesk
